Search Term,Paper Title,Database,DOI link
Finding Attention assessment by using AI,Artificial intelligence technologies and compassion in healthcare: A systematic scoping review,PubMed,https://doi.org/10.3389/fpsyg.2022.971044
Finding Attention assessment by using AI,ABCD: Trust Enhanced Attention based Convolutional Autoencoder for Risk Assessment,ACM Digital Library,https://doi.org/10.1145/3674029.3674076
Finding Attention assessment by using AI,Smart Classroom: A Deep Learning Approach towards Attention Assessment through Class Behavior Detection,IEEE Xplore,https://doi.org/10.1109/ASET53988.2022.9735018
Finding Attention assessment by using AI,Can AI support human grading? Examining machine attention and confidence in short answer scoring,Science Direct,https://doi.org/10.1016/j.compedu.2025.105244
Finding Attention assessment by using AI,Enhancing Selective Attention of Students with Learning Disabilities Through an AI-Based Strategy,IEEE Xplore,https://doi.org/10.1109/SNAMS64316.2024.10883808
Finding Attention assessment by using AI,Self-Attention Facial Attribute Editing,ACM Digital Library,https://doi.org/10.1145/3697355.3697371
Finding Attention assessment by using AI,Using Voice Data to Facilitate Depression Risk Assessment in Primary Health Care,ACM Digital Library,https://doi.org/10.1145/3630744.3658408
Finding Attention assessment by using AI,Voice in AI-assisted multimodal texts: What do readers pay attention to?,Science Direct,https://doi.org/10.1016/j.compcom.2025.102918
Finding Attention assessment by using AI,Students' Attention Monitoring System in Learning Environments based on Artificial Intelligence,IEEE Xplore,https://doi.org/10.1109/TLA.2022.9662181
Finding Attention assessment by using AI,Diagnosing attention-deficit hyperactivity disorder (ADHD) using artificial intelligence: a clinical study in the UK,Google Scholar,https://doi.org/10.3389/fpsyt.2023.1164433
Finding Attention assessment by using AI,Utilizing Attention-based Ensemble Mechanism to Identify Discriminative Feature Combinations for Sleep Staging,IEEE Xplore,https://doi.org/10.1109/BIBM62325.2024.10821996
Using AI/ML for detecting attention and focus,Focus Your Attention: A Bidirectional Focal Attention Network for Image-Text Matching,ACM Digital Library,https://doi.org/10.1145/3343031.3350869
Using AI/ML for detecting attention and focus,Artificial Intelligence-based System for Detecting Attention Levels in Students,PubMed,https://doi.org/10.3791/65931
Using AI/ML for detecting attention and focus,Legal and ethical considerations for demand-driven data collection and AI-based analysis in flood response,Science Direct,https://doi.org/10.1016/j.ijdrr.2025.105441
Using AI/ML for detecting attention and focus,A Study on the Use of Attention for Explaining Video Summarization,ACM Digital Library,https://doi.org/10.1145/3607540.3617138
Using AI/ML for detecting attention and focus,Human-AI Interactive and Continuous Sensemaking: A Case Study of Image Classification using Scribble Attention Maps,ACM Digital Library,https://doi.org/10.1145/3411763.3451798
Using AI/ML for detecting attention and focus,Integrating AI/ML With Wearable Devices for Monitoring Student Mental Health,Google Scholar,https://doi.org/10.4018/979-8-3693-7817-5.ch010
Using AI/ML for detecting attention and focus,Next-Generation cyber threat detection and mitigation strategies: a focus on artificial intelligence and machine learning,Google Scholar,https://doi.org10.32996/jcsts.2024.6.1.19
Attention tracking using ML,What to Do and Where to Go Next? Action Prediction in Soccer Using Multimodal Co-Attention Transformer,ACM Digital Library,https://doi.org/10.1145/3689061.3689076
Attention tracking using ML,Enhancing VR Gaming Experience using Computational Attention Models and Eye-Tracking,ACM Digital Library,https://doi.org/10.1145/3573381.3597218
Attention tracking using ML,Multi-object tracking algorithm based on interactive attention network and adaptive trajectory reconnection,Science Direct,https://doi.org/10.1016/j.eswa.2024.123581
Attention tracking using ML,Estimation of Latent Attention Resources using Microsaccade Frequency during a Dual Task,ACM Digital Library,https://doi.org/10.1145/3588015.3590120
Attention tracking using ML,Audio-Visual Event Localization using Multi-task Hybrid Attention Networks for Smart Healthcare Systems,ACM Digital Library,https://doi.org/10.1145/3653018
Attention tracking using ML,Real-time Online Learning Attention Tracker,IEEE Xplore,https://doi.org/10.1109/TALE54877.2022.00073
Cognitive focus on deep learning,Deep learning and cognitive science,PubMed,https://doi.org/10.1016/j.cognition.2020.104365
Cognitive focus on deep learning,Using cognitive mapping to foster deeper learning with complex problems in a computer-based environment,Science Direct,https://doi.org/10.1016/j.chb.2018.01.024
Cognitive focus on deep learning,Using deep learning to predict human decisions and using cognitive models to explain deep learning models,Google Scholar,https://doi.org/10.1038/s41598-022-08863-0
Cognitive focus on deep learning,Applying Deep Knowledge Tracing Model for University Students Programming Learning,IEEE Xplore,https://doi.org/10.1109/ICOIN56518.2023.10048977
Cognitive focus on deep learning,Cognitive Computing with Deep Learning based Cybersecurity Solution for Human Computer Interface Applications,IEEE Xplore,https://doi.org/10.1109/ICDSNS62112.2024.10691061
Cognitive focus on deep learning,Relating Students Cognitive Processes and Learner-Centered Emotions: An Advanced Deep Learning Approach,ACM Digital Library,https://doi.org/10.1145/3678957.3685751
