Search Term,Paper Title,Database,DOI link
Finding Attention assessment by using AI,Students' Attention Monitoring System in Learning Environments based on Artificial Intelligence,IEEE Xplore,https://doi.org/10.1109/TLA.2022.9662181
Using Artificial Intelligence models for detecting focus,Predicting Level of Visual Focus of Humans Attention Using Machine Learning Approaches,Google Scholar,https://doi.org/10.1007/978-981-33-4673-4_56
Machine learning for cognitive load estimation,Classification of EEG Signals for Cognitive Load Estimation Using Deep Learning Architectures,gGoogle Scholar,https://doi.org/10.1007/978-3-030-04021-5_6
Machine learning for cognitive load estimation,Cognitive Load Estimation Using a Hybrid Cluster-Based Unsupervised Machine Learning Technique,gGoogle Scholar,http://doi.org/10.1109/ACCESS.2024.3428691
AI attention detection in app usage,Early Detection of Preschool Children with ADHD and the Role of Mobile Apps and AI,Google Scholar,https://doi.org/10.47577/tssj.v30i1.6266
Focus tracking in online learning by using AI,TeacherEye: An AI-Powered System for Monitoring Student Engagement in Online Education,IEEE Xplore,https://doi.org/10.1109/LT64002.2025.10940905
Attention monitoring in e-learning using AI,Students' Attention Assessment in eLearning based on Machine Learning,Google Scholar,https://doi.org/10.1088/1755-1315/199/3/032042
Attention monitoring in e-learning using AI,Real-Time Attention Monitoring System for Classroom: A Deep Learning Approach for Students Behavior Recognition,Google Scholar,https://doi.org/10.3390/bdcc7010048
Student engagement prediction using Machine Learning,Student-Engagement Detection in Classroom Using Machine Learning Algorithm,Google Scholar,https://doi.org/10.3390/electronics12030731
Student engagement prediction using Machine Learning,Dyslexia Adaptive Learning Model: Student Engagement Prediction Using Machine Learning Approach,Google Scholar,https://doi.org/10.1007/978-3-319-72550-5_36
AI detection of ADHD,Machine Learning in ADHD and Depression Mental Health Diagnosis: A Survey,Google Scholar,http://doi.org/10.1109/ACCESS.2023.3304236
Machine learning for attention disorders,Machine learning in attention-deficit/hyperactivity disorder: new approaches toward understanding the neural mechanisms,Google Scholar,https://doi.org/10.1038/s41398-023-02536-w
Machine learning for attention disorders,Automatic Diagnosis of Attention Deficit Hyperactivity Disorder Using Machine Learning,Google Scholar,https://doi.org/10.1080/08839514.2021.1933761
Machine learning for attention disorders,A Machine Learning-Based Analysis of Game Data for Attention Deficit Hyperactivity Disorder Assessment,Google Scholar,https://doi.org/10.1089/g4h.2013.0058
Machine learning for attention disorders,Machine learning-enabled detection of attention-deficit/hyperactivity disorder with multimodal physiological data: a case-control study,Google Scholar,https://doi.org/10.1186/s12888-024-05987-7
Machine learning for attention disorders,Assessment of the Autism Spectrum Disorder Based on Machine Learning and Social Visual Attention: A Systematic Review,Google Scholar,https://doi.org/10.1007/s10803-021-05106-5
Machine learning for attention disorders,A systematic review on the application of machine learning models in psychometric questionnaires for the diagnosis of attention deficit hyperactivity disorder,Google Scholar,https://doi.org/10.1111/ejn.16288
Machine learning for attention disorders,Identification of attention deficit hyperactivity disorder with deep learning model,Google Scholar,https://doi.org/10.1007/s13246-023-01275-y
Machine learning for attention disorders,Comparison of Machine Learning predictive methods to diagnose the Attention Deficit/Hyperactivity Disorder levels using SPECT,Google Scholar,https://doi.org/10.33448/rsd-v11i8.31258
