Search Term,Paper title,Database, DOI link
AI in cognitive psychology,Cognitive psychology-based artificial intelligence review,gGoogle Scholar,https://doi.org/10.3389/fnins.2022.1024316
AI and ML method in cognitive psychology,A Systematic Literature Review of How to Treat Cognitive Psychology with Artificial Intelligence,gGoogle Scholar,https://doi.org/10.1007/978-981-99-3611-3_29
AI and ML method in cognitive psychology,AI-Powered Breakthroughs: Revolutionizing Cognitive Psychology and Neuropsychology With Machine Learning,gGoogle Scholar,http://doi.org/10.4018/979-8-3693-9341-3.ch003
AI and ML method in cognitive psychology,"Psychology Approach: Through AI, ML and
DL",gGoogle Scholar,https://www.researchgate.net/profile/Anuradha-Dhull-3/publication/359658767_Psychology_Approach_Through_AI_ML_and_DL/links/6274e0b63a23744a7267f2e0/Psychology-Approach-Through-AI-ML-and-DL.pdf
AI and ML method in cognitive psychology,Uses of Artificial Intelligence in Psychology ,gGoogle Scholar,http://doi.org/10.31014/aior.1994.05.04.242
AI and ML method in cognitive psychology,Comprehensive Detection and Analysis of Depression in Women Through Advanced Machine Learning Techniques,IEEE Xplore,http://doi.org/10.1109/ICTBIG64922.2024.10911370
AI and ML method in cognitive psychology,Proposed Computational Classification System of Human Cognitive Biases,IEEE Xplore,http://doi.org/10.1109/WI.2018.00013
AI and ML method in cognitive psychology,Cognitive Psychology Based Text Analysis Using Feature Extraction and Classification by Deep Learning Architectures for English Language Analysis,ACM Digital Library,https://doi.org/10.1145/3590150
AI and ML method in cognitive psychology,Information Processing for Low Resource Processing Based Cognitive Psychology for Second Language Teaching by Opinion Mining using Deep Learning Architecture,ACM Digital Library,https://doi.org/10.1145/3590151
AI and ML method in cognitive psychology,Generative Co-Learners: Enhancing Cognitive and Social Presence of Students in Asynchronous Learning with Generative AI,ACM Digital Library,https://doi.org/10.1145/3701198
AI and ML method in cognitive psychology,Predictive Modelling of Cognitive Workload in VR: An Eye-Tracking Approach,ACM Digital Library,https://doi.org/10.1145/3649902.3655642
AI and ML method in cognitive psychology,PsyChatbot: A Psychological Counseling Agent Towards Depressed Chinese Population Based on Cognitive Behavioural Therapy,ACM Digital Library,https://doi.org/10.1145/3676962
AI and ML method in cognitive psychology,A practical applications guide to machine learning regression models in psychology with Python,ScienceDirect,https://doi.org/10.1016/j.metip.2024.100156
AI and ML method in cognitive psychology,Impact of AI-focussed technologies on social and technical competencies for HR managers – A systematic review and research agenda,ScienceDirect,https://doi.org/10.1016/j.techfore.2024.123301
AI and ML method in cognitive psychology,A new era in cognitive neuroscience: the tidal wave of artificial intelligence (AI),PubMed,http://doi.org/10.1186/s12868-024-00869-w
Machine learning for cognitive load estimation,ADABase: A Multimodal Dataset for Cognitive Load Estimation,gGoogle Scholar,https://doi.org/10.3390/s23010340
Machine learning for cognitive load estimation,Classification of EEG Signals for Cognitive Load Estimation Using Deep Learning Architectures,gGoogle Scholar,https://doi.org/10.1007/978-3-030-04021-5_6
Machine learning for cognitive load estimation,Cognitive Load Monitoring With Wearables–Lessons Learned From a Machine Learning Challenge,gGoogle Scholar,http://doi.org/10.1109/ACCESS.2021.3093216
Machine learning for cognitive load estimation,Cognitive Load Estimation Using a Hybrid Cluster-Based Unsupervised Machine Learning Technique,gGoogle Scholar,http://doi.org/10.1109/ACCESS.2024.3428691
Machine learning for cognitive load estimation,Cognitive workload level estimation based on eye tracking: A machine learning approach,gGoogle Scholar,http://doi.org/10.1109/BIBE52308.2021.9635166
Machine learning for cognitive load estimation,ML-Driven Cognitive Workload Estimation in a VR-based Sustained Attention Task*, IEEE Xplore,http://doi.org/10.1109/ISMAR-Adjunct64951.2024.00160
Machine learning for cognitive load estimation,Evaluating the performance of machine learning models for energy load prediction in residential HVAC systems,ScienceDirect,https://doi.org/10.1016/j.enbuild.2025.115517
Machine learning for cognitive load estimation,A machine learning-based decision support system for temporal human cognitive state estimation during online education using wearable physiological monitoring devices,ScienceDirect,https://doi.org/10.1016/j.dajour.2023.100280
AI and attention span detection,"Speed Reading Tool Powered by Artificial Intelligence for Students with ADHD, Dyslexia, or Short Attention Span",gGoogle Scholar,https://doi.org/10.48550/arXiv.2307.14544
AI and attention span detection,"A Study on Automatic Attention Span Detection of
Students",gGoogle Scholar,https://doi.org/10.22214/ijraset.2021.34707
AI and attention span detection,Analysis of Attention Span of Students using Deep Learning,gGoogle Scholar,http://doi.org/10.1109/MITADTSoCiCon60330.2024.10575321
AI and attention span detection,Attention Span Detection for Online Lectures,gGoogle Scholar,http://doi.org/10.1109/ICACC-202152719.2021.9708082
AI and attention span detection,"Real-time Attention Span Tracking in Online Education
",gGoogle Scholar,http://doi.org/10.1109/URTC51696.2020.9668900
AI and attention span detection,Student’s Attention and Alertness Monitoring System using AI, IEEE Xplore,http://doi.org/10.1109/MITADTSoCiCon60330.2024.10575441
AI based attention and focus assessment,Artificial Intelligence-based System for Detecting Attention Levels in Students,gGoogle Scholar,http://doi.org/10.3791/65931
AI based attention and focus assessment,Comparative Study of AI-Based Approaches to Measuring Student Attention: Towards an Affordable and Effective Method,gGoogle Scholar,https://doi.org/10.1007/978-3-031-74474-7_4
AI based attention and focus assessment,EDUSENSE-AI: AI-POWERED ATTENTION AND EMOTION ANALYSIS FOR DIGITAL EDUCATION,gGoogle Scholar,http://doi.org/10.21125/iceri.2024.1550
