Search Term,Paper title,Database, DOI link
Software tools for attention and focus assesment,"Processes and ICT Tools for ADHD Assessment,
Intervention and Attention Training",Google Scholar,http://dx.doi.org/10.3991/ijet.v9i6.4001
Software tools for attention and focus assesment,Shifting Attention: Using Learning Self-Assessment Tools during Initial Coursework to Focus Teacher Candidates on Student Learning,Google Scholar,https://www.jstor.org/stable/teaceducquar.40.4.111
Software tools for attention and focus assesment,Focus: Design and Evaluation of a Software Tool for Collecting Reader Feedback,Google Scholar,https://doi.org/10.1207/s15427625tcq1004_2
Software tools for attention and focus assesment,A dynamic attention assessment and enhancement tool using computer graphics,Google Scholar,http://doi.org/10.1186/s13673-014-0011-0
Software tools for attention and focus assesment,"Tools and E-tools for Memory and Attention
Problems in Pre-school Education",Google Scholar,http://dx.doi.org/10.3991/ijes.v3i3.4729
Software tools for attention and focus assesment,"Effectiveness of Assessment, Diagnostic and Intervention
ICT Tools for Children and Adolescents with ADHD ",Google Scholar,https://doi.org/10.3991/ijes.v7i3.11178
Digital methods for cognitive load measurement,"A comparison of four methods for cognitive load measurement
",Google Scholar,https://doi.org/10.1145/2071536.2071547
Digital methods for cognitive load measurement,Understanding Cognitive Load in Digital and Online Learning: a New Perspective on Extraneous Cognitive Load,Google Scholar,https://doi.org/10.1007/s10648-021-09624-7
Digital methods for cognitive load measurement,Subjective cognitive load surveys lead to divergent results for interactive learning media,Google Scholar,https://doi.org/10.1002/hbe2.184
Digital methods for cognitive load measurement,Measuring cognitive load in the presence of educational video: Towards a multimodal methodology,Google Scholar,https://doi.org/10.14742/ajet.3084
Digital methods for cognitive load measurement,Research on User Cognitive Load Measurement System in Interface Design,IEEE Xplore,http://doi.org/10.1109/ICIDDT52279.2020.00105
Digital methods for cognitive load measurement,Cognitive Load Detection on Drivers by Pupillary Analysis,IEEE Xplore,http://doi.org/10.1109/CONECCT50063.2020.9198441
Digital methods for cognitive load measurement,A Deep Learning Technique for Real-Time Detection of Cognitive Load Using Optimal Number of EEG Electrodes,IEEE Xplore,http://doi.org/10.1109/TIM.2024.3509604
Digital methods for cognitive load measurement,Cognitive Load Measurement with Physiological Sensors in Virtual Reality during Physical Activity,ACM Digital Library,https://doi.org/10.1145/3611659.3615704
Digital methods for cognitive load measurement,PlayMeBack - Cognitive Load Measurement using Different Physiological Cues in a VR Game,ACM Digital Library,https://doi.org/10.1145/3562939.3565648
Digital methods for cognitive load measurement,Cognitive load measurement during navigation and information retrieval in digital text,ScienceDirect,https://doi.org/10.1016/j.procs.2021.09.042
Sensor based mental health and focus and attention issues,Sensing Technologies for Monitoring Serious Mental Illnesses,Google Scholar,http://doi.org/10.1109/MMUL.2018.011921236
Sensor based mental health and focus and attention issues,Attention-Block Deep Learning Based Features Fusion in Wearable Social Sensor for Mental Wellbeing Evaluations,Google Scholar,http://doi.org/10.1109/ACCESS.2020.2994124
Sensor based mental health and focus and attention issues,Integration of Sensor-Based Technology in Mental Healthcare: A Systematic Scoping Review,Google Scholar,https://doi.org/10.1007/s41347-024-00427-5
Sensor based mental health and focus and attention issues,Common Mental Disorders in Smart City Settings and Use of Multimodal Medical Sensor Fusion to Detect Them,Google Scholar,https://doi.org/10.3390/diagnostics13061082
Sensor based mental health and focus and attention issues,Mental Health Monitoring System using Artificial Intelligence: A Review,IEEE Xplore,http://doi.org/10.1109/I2CT45611.2019.9033652
Sensor based mental health and focus and attention issues,Depression Detection Using BERT on Social Media Platforms,IEEE Xplore,?http://doi.org/10.1109/IICAIET62352.2024.10730329
Sensor based mental health and focus and attention issues,An Extensive Survey on Recent Advancements in Human Stress Level Detection Systems,IEEE Xplore,http://doi.org/10.1109/ICECA55336.2022.10009334
Sensor based mental health and focus and attention issues,MHDeep: Mental Health Disorder Detection System Based on Wearable Sensors and Artificial Neural Networks,ACM Digital Library,https://doi.org/10.1145/3527170
Technology supported attention and mental health evaluation,Technology and Mental Health: State of the Art for Assessment and Treatment,Google Scholar,https://doi.org/10.1176/appi.ajp.21121254
Technology supported attention and mental health evaluation,Mobile technology for mental health assessment,Google Scholar,https://doi.org/10.31887/DCNS.2016.18.2/parean
Technology supported attention and mental health evaluation,Design and evaluation guidelines for mental health technologies,Google Scholar,http://doi.org/10.1016/j.intcom.2010.02.006
Technology supported attention and mental health evaluation,iCare: Harnessing AI and Emotional Intelligence to Revolutionize Accessible Mental Health Support,IEEE Xplore,?http://doi.org/10.1109/ICERCS63125.2024.10895094
