,,,,,5. Tech Usage Only (No AI),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Search Term ,,,Paper Title,,,Database,,,DOI link,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Using smartphone impact on attention,,,"Media Multitasking, Attention and News Evaluation",,,IEEE Xplore,,,https://doi.org/10.1109/EITT.2019.00043,,,,,,,,
,,Using smartphone impact on attention,,,Real-Time Attention Monitoring Using Smart Wearable for ADHD Patients,,,IEEE Xplore,,,https://doi.org/10.1109/ICDSNS58469.2023.10245407,,,,,,,,
,,Using smartphone impact on attention,,,Early Prediction of Attention Deficit Hyperactivity Disorder among Children's Using Support Vector Machine over the Linear Regression Algorithm for Better Accuracy,,,IEEE Xplore,,,https://doi.org/10.1109/ICKECS56523.2022.10060825,,,,,,,,
,,Using smartphone impact on attention,,,The impact of smartphone deprivation on attentional bias in problematic smartphone users: Evidence from behavioral and physiological perspectives,,,Science Direct,,,https://doi.org/10.1016/j.chb.2024.108412,,,,,,,,
,,Using smartphone impact on attention,,,The Effect of Smartphone Addiction on Attention Level in High School Students,,,Google Scholar,,,https://doi.org/10.51982/bagimli.1118921,,,,,,,,
,,Using smartphone impact on attention,,,"The relative impact of smartwatch and smartphone use while driving on workload, attention, and driving performance",,,PubMed,,,https://doi.org/10.1016/j.apergo.2018.09.001,,,,,,,,
,,Using smartphone impact on attention,,,Predicting Users’ Attention Breakpoints During Mobile Text Entry,,,ACM Digital Library,,,https://doi.org/10.1145/3565066.3608747,,,,,,,,
,,Using smartphone impact on attention,,,The Effects of Spontaneous Use of Smartphone on the Attention and Emotions of Millennials Students in a Classroom,,,Google Scholar,,,https://doi.org/10.30560/ilr.v2n2p42,,,,,,,,
,,Facing attention issues in digital age,,,Onlife Attention: Attention in the Digital Age,,,Google Scholar,,,https://doi.org/10.1007/978-3-030-24143-8_4,,,,,,,,
,,Facing attention issues in digital age,,,Smart and Digital Healthcare. Advanced Technologies and Security Issues,,,ACM Digital Library,,,https://doi.org/10.1145/3670243.3673857,,,,,,,,
,,Facing attention issues in digital age,,,From face-to-face to screen-to-screen: exploring the multifaceted dimensions of digital mental health care,,,PubMed,,,https://doi.org/10.3389/fpsyt.2024.1413127,,,,,,,,
