Search Term,Paper title,Database, DOI link
AI detection of ADHD,Automated detection of ADHD: Current trends and future perspective,Google Scholar,https://doi.org/10.1016/j.compbiomed.2022.105525
AI detection of ADHD,Artificial intelligence as a support to diagnose ADHD: an insight of unorthodox approaches: a scoping review,Google Scholar,https://doi.org/10.1080/09297049.2025.2468411
AI detection of ADHD,Diagnosing attention-deficit hyperactivity disorder (ADHD) using artificial intelligence: a clinical study in the UK,Google Scholar,https://doi.org/10.3389/fpsyt.2023.1164433
AI detection of ADHD,Deep neural network technique for automated detection of ADHD and CD using ECG signal,Google Scholar,https://doi.org/10.1016/j.cmpb.2023.107775
AI detection of ADHD,Machine and Deep Learning Algorithms for ADHD Detection: A Review,Google Scholar,https://doi.org/10.1007/978-3-031-40688-1_8
AI detection of ADHD,Artificial Intelligence Based Techniques for the Detection of Socio-Behavioral Disorders: A Systematic Review,Google Scholar,https://doi.org/10.1007/s11831-021-09682-8
AI detection of ADHD,Detection of ADHD and Explaining the Factors,Google Scholar,https://doi.org/10.1007/978-981-99-5435-3_43
AI detection of ADHD,Using artificial intelligence methods to study the effectiveness of exercise in patients with ADHD,Google Scholar,https://doi.org/10.3389/fnins.2024.1380886
AI detection of ADHD,A short report on ADHD detection using convolutional neural networks,Google Scholar,https://doi.org/10.3389/fpsyt.2024.1426155
AI detection of ADHD,Machine Learning in ADHD and Depression Mental Health Diagnosis: A Survey,Google Scholar,http://doi.org/10.1109/ACCESS.2023.3304236
AI detection of ADHD,Intelligent ADHD Detection Using Explainable Multimodal Fusion Model,IEEE Xplore,http://doi.org/10.1109/ICIBA62489.2024.10868017
AI detection of ADHD,Machine Learning and ADHD Mental Health Detection - A Short Survey,IEEE Xplore,http://doi.org/10.23919/FUSION49751.2022.9841277
AI detection of ADHD,AI-Based Techniques for the Detection of Neuro-Developmental Disorders: A Survey,IEEE Xplore,?http://doi.org/10.1109/ISCON57294.2023.10112000
AI detection of ADHD,AI-Enabled Deep Depression Detection and Evaluation Informed by DSM-5-TR,IEEE Xplore,http://doi.org/10.1109/TCSS.2024.3382139
AI detection of ADHD,Detecting Brain activity in ADHD children and healthy controls using Machine Learning Techniques,ACM Digital Library,https://doi.org/10.1145/3641142.3641156
AI detection of ADHD, Siamese based deep neural network for ADHD detection using EEG signal,ScienceDirect,https://doi.org/10.1016/j.compbiomed.2024.109092
AI detection of ADHD,ADHD detection based on human action recognition,ScienceDirect,https://doi.org/10.1016/j.nsa.2024.104093
AI detection of ADHD,Deep neural network technique for automated detection of ADHD and CD using ECG signal,ScienceDirect,https://doi.org/10.1016/j.cmpb.2023.107775
AI detection of ADHD,Insight into ADHD diagnosis with deep learning on Actimetry: Quantitative interpretation of occlusion maps in age and gender subgroups,ScienceDirect,https://doi.org/10.1016/j.artmed.2023.102630
AI detection of ADHD,Exploring potential ADHD biomarkers through advanced machine learning: An examination of audiovisual integration networks,ScienceDirect,https://doi.org/10.1016/j.compbiomed.2024.109240
AI detection of ADHD,"Artificial intelligence in psychiatry research, diagnosis, and therapy",PubMed,http://doi.org/10.1016/j.ajp.2023.103705
AI detection of ADHD,Siamese based deep neural network for ADHD detection using EEG signal,PubMed,http://doi.org/10.1016/j.compbiomed.2024.109092
AI detection of ADHD,Development of an innovative approach using portable eye tracking to assist ADHD screening: a machine learning study,PubMed,http://doi.org/10.3389/fpsyt.2024.1337595
Machine learning for attention disorders,Machine learning in attention-deficit/hyperactivity disorder: new approaches toward understanding the neural mechanisms,Google Scholar,https://doi.org/10.1038/s41398-023-02536-w
Machine learning for attention disorders,Machine Learning–Based Prediction of Attention-Deficit/Hyperactivity Disorder and Sleep Problems With Wearable Data in Children,Google Scholar,http://doi.org/10.1001/jamanetworkopen.2023.3502
Machine learning for attention disorders,Machine Learning Methods for Diagnosing Autism Spectrum Disorder and Attention- Deficit/Hyperactivity Disorder Using Functional and Structural MRI: A Survey,Google Scholar,https://doi.org/10.3389/fninf.2020.575999
Machine learning for attention disorders,Automatic Diagnosis of Attention Deficit Hyperactivity Disorder Using Machine Learning,Google Scholar,https://doi.org/10.1080/08839514.2021.1933761
Machine learning for attention disorders,A Machine Learning-Based Analysis of Game Data for Attention Deficit Hyperactivity Disorder Assessment,Google Scholar,https://doi.org/10.1089/g4h.2013.0058
Machine learning for attention disorders,"Machine Learning Techniques for the Diagnosis of Attention-Deficit/Hyperactivity Disorder from Magnetic Resonance Imaging
",Google Scholar,http://doi.org/10.4103/0028-3886.333520
Machine learning for attention disorders,Towards interpretable machine learning models for diagnosis aid: A case study on attention deficit/hyperactivity disorder,Google Scholar,https://doi.org/10.1371/journal.pone.0215720
Machine learning for attention disorders,Machine learning models effectively distinguish attention-deficit/hyperactivity disorder using event-related potentials,Google Scholar,https://doi.org/10.1007/s11571-021-09746-2
Machine learning for attention disorders,Machine learning-enabled detection of attention-deficit/hyperactivity disorder with multimodal physiological data: a case-control study,Google Scholar,https://doi.org/10.1186/s12888-024-05987-7
Machine learning for attention disorders,Assessment of the Autism Spectrum Disorder Based on Machine Learning and Social Visual Attention: A Systematic Review,Google Scholar,https://doi.org/10.1007/s10803-021-05106-5
Machine learning for attention disorders,Machine-learning-based diagnosis of drug-naive adult patients with attention-deficit hyperactivity disorder using mismatch negativity,Google Scholar,https://doi.org/10.1038/s41398-021-01604-3
Machine learning for attention disorders,Regional Contribution in Electrophysiological-Based Classifications of Attention Deficit Hyperactive Disorder (ADHD) Using Machine Learning,Google Scholar,https://doi.org/10.3390/computation11090180
Machine learning for attention disorders,A systematic review on the application of machine learning models in psychometric questionnaires for the diagnosis of attention deficit hyperactivity disorder,Google Scholar,https://doi.org/10.1111/ejn.16288
Machine learning for attention disorders,Evidence for similar structural brain anomalies in youth and adult attention-deficit/hyperactivity disorder: a machine learning analysis,Google Scholar,https://doi.org/10.1038/s41398-021-01201-4
Machine learning for attention disorders,Identification of attention deficit hyperactivity disorder with deep learning model,Google Scholar,https://doi.org/10.1007/s13246-023-01275-y
